date,general_label,traffic_rate,total_traffic
2017-04-19,Technology and Science,0.1,2000.0
2017-04-20,Technology and Science,0.0,0.0
2017-04-21,Technology and Science,0.0,0.0
2017-04-22,Technology and Science,0.0,0.0
2017-04-23,Technology and Science,0.0,0.0
2017-04-24,Technology and Science,0.1,2000.0
2017-04-25,Technology and Science,0.0,0.0
2017-04-26,Technology and Science,0.0,0.0
2017-04-27,Technology and Science,0.0,0.0
2017-04-28,Technology and Science,0.0,0.0
2017-04-29,Technology and Science,0.0,0.0
2017-04-30,Technology and Science,0.1,2000.0
2017-05-01,Technology and Science,0.0,0.0
2017-05-02,Technology and Science,0.0,0.0
2017-05-03,Technology and Science,0.0,0.0
2017-05-04,Technology and Science,0.1,2000.0
